old                                      new
0e9626aeab425e9eed10ae1fb09b60ab3fd91543 16aad9d669c7d7119fc9313e4e35b0218926b14b
1259c74efb691e9bd6c8dd239fe22d14a0fcbe38 4e67288e87b0462c3617b3eeb686040c515d8267
1265fe432b874f87acde455fd82bddc442cd72bb 5e5b13e2dec14b567aa85dca501dbddbbccfa479
2180131f2d15833ecba776248bdd3bd05aa4897e a0b7b75645525354a28215ec14c6c48f187b631e
22ed2e768075ba553481e43aa293a242532ba3f9 c48820cd6b7cb7001d69a399acc8727ec5114458
23b78d7234c8e5438bcc0901da1852b7f750ab30 80e0cb1875ba17fd8155a7a801148affe70504aa
25594333c6453fc473a26662c36e77fbf0a34548 345b37fb2097f95eac6e9d2dd2f297c56ed77d2b
27cb8357ff8b109dc1b2cd0db7c6fe91c3a42000 4fcd692e8ae2f04d4b42d36c962de659518d2ff3
31a8b1a3758697d461e66cae2f9ccc741c5e87da af2ccd3c3456ef1bef7eb0db4bf180e83847792d
394996b0bd0afb74d7021b3d51db92a3302293ff f920bc4fb540ae5b952bd3349ecd4b70eb4e0386
3fcf6fc1355855121c3b7f85e1f6dc77e8f4dd94 904905126130a31b726ea0f8dbfffcdfc0e33b49
43290730f5464d7b07bdcbc39dc24d2eea6d5bfa df61217e4d5d2b3d1b5c0227bdcb10f04376321d
4b84fec6639c09ec73e319b6445fdaa7589980c3 32a229e6c503d9d36e1714b1d80d082bbfd4afe6
57aa993f719c3364f09aaa76d2c3846986b4f66a 90a71d8a46c39738f43927899899ce0c276740cf
5aad8d6cded27d98ef5d927c7a1c3f9e01f923da 4c6f51b4443c7d8622888c0649f9ff98032526b1
616ab82e758508791b95e01cd1ad02c37055646b dab906bea073671620cf6b309bc29730430146e3
622c94157f22d115c28d2a0a140cf5cdfbd39e0e 9a1c6cd53b5f977e118a48e25ea23bdb722d27b7
6259c9e75e080655b5a056315b5e3a13174ccd5b 27ce3378c03623aa0b5a1f522e9cc3977272164f
648891e92f9e3b85c8f1d60ffcf8dd818f3b579e b855cefb9936ac26c3adee13df8e477bd6866d14
68816b8ecf7e3feda529dcda605fdb8ee4f52dd4 531cd231b880df81b1bb4703c4ddf08037c5159a
68c24bd5369f60381096d70d8285c6d096599ff0 7a63eb60cfbb21311b1fc8ae516fdbbbe366eb6f
6c2b50a48d8125b553d847c1c053c4e32b1fe211 8a8a78cc0ac80cb666a882c16c0eabba393c9486
72f17c8f45b761ec40b03fa3d3acb550daec57eb 089a9a828217812fb97d12c2d38b966088edd806
74982e8ca26689947f3142a8bafa53fc91d1c842 31f40c83800ca2b762bd3cdf8bc61dec4d653836
75366ef1cfc850814288aa4afd928fe4b6e9efde 0490c9574d8ae765cec54b340ee834694b5d9535
768ce9fb565b91a494334ae5e01cf371790e2b76 02d475c7078ebe5f7eea4fe7a0be5fa058fb1eb2
7b55cdba0bda0b0e32854ea9cc9e39bd50931631 6256b24545ea5740b3d6e01a58a83ca6c69d4ab4
7d1cc89d11b1e2c9344989162d6334758718cdd5 064800ee9de39d6c8ed622e68ba31287c37de77f
81c220c5c50b8803ad3ef61ddc3a665911ff027c 0e93cf49acff7712ac7d1461abc951258c88b6c0
9014b92350ef03f7e05d027f909bfc611b6ead29 371b2016a49743deeb75430b8a553c8c24370eb9
9e06b8a7bb18e2a6af364d41521ba3c53bf68bd2 fa7c1aaa433504bd43692c262c1608c477db3e9a
a06c56f128e5cc62d3a95410e5ac59a71831b7d4 7dc87f10b46f99ebbec1a2f0412e217881f8ea63
a61795461e3d2b3bf92c25c30441b84628e8d50a 56ddd5106986b60342c02ddc2eb55985b03ddd72
a67c135261f1a3f06e14abb5d3dc086cbe96f21d f1a2113c88f3a95720960a8c5e1bc6e4e106bf8d
a738ee65314ae27e399fe70a94484971a11e5eab 27089df6d5d2c199c0b4b37af0cf13aefec8fc66
af54dd62d20cbd2599f978cf91abeea35944cfb7 a9d18ec1dcba373b51beac9569b3b6c9d50db406
c3e7657d53d360d6e7ca2aea683c8705baefa6ed 1dbf0420a3e483c174d4ff3b612eef4aa0b157a2
d05b2e87b6b250423e08828eea0af6429f04230c 51040d6a9093f12175474977f6eab39aa988bd1f
d86f2ce6280e4ab6afe24c3698b92bfcc69551a9 dc300bd61b20007cd1dd96c17f86c41b0f2fe7d2
d9b1a10e721cd5135749f18dc1795ac8328cb8c1 9956c9e51eb7cec01dcc7fda2aaecb067b7219cb
db50594878374c22423ee3798552e624818adf40 d3f906877f1e879defa01682e31f10a5102b0e87
df5cc814ff32727b313f80fba8f60977434d1f1c 51032e3f7878a18d6d775519889e2b101afee75a
e2ddf42407e7c11617a03958af8db6df519b27da 79649a846c0375313d865693875cf42ceba0670a
e4ed953a0061a4d9c791e311852e62b0fa008815 79686149f321fae659b6fd03e9d42023288741fe
eb65b3227653d7429c62af3c38bf80b87a6f104a a1c5cb8f97946991f4cf751acd27d275c3b77357
ece4949ee6d7b0d365e6796be3ebff8d439d9f56 7a5007e2454a340eda742be28cebc8c23d1f81df
ecfe1d4693b8c9ef1d79c9734c404b814e7833ad 956f54633362a99a750e0279724d2c88de408887
ee2ab03b8078e7e9442d0f9937b82b2a363a6764 cc04e19f71bc0f81b7eeae0819065203872efa51
